base,code,state,n,ann_mean,ann_vol,hit,worst_q,t_mean
reported,buyout,인상,20,0.16004,0.0928491,0.8,-0.0356,3.85421
reported,buyout,동결,68,0.153347,0.0916972,0.838235,-0.1017,6.89515
reported,buyout,인하,17,-0.0360471,0.133663,0.588235,-0.1887,-0.555974
reported,vc,인상,20,0.07242,0.11834,0.75,-0.133,1.36839
reported,vc,동결,68,0.140782,0.131399,0.794118,-0.1303,4.41754
reported,vc,인하,17,-0.0911765,0.156948,0.411765,-0.1505,-1.19763
reported,fof_secondary,인상,18,0.140022,0.0949968,0.833333,-0.0333,3.12676
reported,fof_secondary,동결,66,0.153152,0.0876611,0.893939,-0.0339,7.0967
reported,fof_secondary,인하,13,-0.0189846,0.113758,0.615385,-0.161,-0.300857
reported,fof_primary,인상,20,0.07294,0.0719453,0.65,-0.0455,2.26698
reported,fof_primary,동결,68,0.104618,0.0858263,0.823529,-0.0711,5.02584
reported,fof_primary,인하,17,-0.0615059,0.113601,0.470588,-0.1435,-1.11617
reported,senior_loan,인상,9,0.0608444,0.0379151,0.777778,-0.0129,2.40713
reported,senior_loan,동결,48,0.0839667,0.046683,0.854167,-0.0718,6.23073
reported,senior_loan,인하,7,0.0277714,0.0478992,0.714286,-0.0411,0.766989
reported,mezzanine,인상,20,0.11106,0.0537441,0.9,-0.0171,4.62075
reported,mezzanine,동결,68,0.125594,0.106754,0.808824,-0.1325,4.85075
reported,mezzanine,인하,17,0.00891765,0.147819,0.705882,-0.1982,0.12437
reported,apac_equity,인상,20,0.06964,0.0915125,0.65,-0.0852,1.70162
reported,apac_equity,동결,68,0.144271,0.116982,0.779412,-0.0926,5.08491
reported,apac_equity,인하,17,-0.0294588,0.131769,0.529412,-0.1738,-0.460888
reported,hfri_fof_cons,인상,20,0.0404519,0.0371834,0.8,-0.0323668,2.43262
reported,hfri_fof_cons,동결,68,0.0469388,0.0396163,0.852941,-0.0835567,4.88521
reported,hfri_fof_cons,인하,17,-0.000490742,0.0789151,0.705882,-0.11475,-0.01282
reported,msci_gpfi,인상,9,-0.0174516,0.0528036,0.444444,-0.049177,-0.495749
reported,msci_gpfi,동결,51,0.0615533,0.0660498,0.803922,-0.111865,3.32763
