base,code,state,n,ann_mean,ann_vol,hit,worst_q,t_mean
reported,buyout,리스크온,82,0.157424,0.0842317,0.865854,-0.1005,8.46201
reported,buyout,리스크오프,23,0.00464348,0.145149,0.521739,-0.1887,0.0767121
reported,vc,리스크온,82,0.122932,0.107982,0.829268,-0.1505,5.15455
reported,vc,리스크오프,23,-0.0264696,0.208589,0.347826,-0.133,-0.304291
reported,fof_secondary,리스크온,78,0.155323,0.0775233,0.935897,-0.0631,8.84751
reported,fof_secondary,리스크오프,19,0.0140211,0.139538,0.473684,-0.161,0.218996
reported,fof_primary,리스크온,82,0.102444,0.0688743,0.841463,-0.0711,6.73451
reported,fof_primary,리스크오프,23,-0.0379652,0.138077,0.347826,-0.1435,-0.659324
reported,senior_loan,리스크온,54,0.0774889,0.0356997,0.87037,-0.0411,7.97519
reported,senior_loan,리스크오프,10,0.0588,0.0848043,0.6,-0.0718,1.0963
reported,mezzanine,리스크온,82,0.115468,0.0691302,0.865854,-0.1454,7.56261
reported,mezzanine,리스크오프,23,0.0628174,0.192484,0.608696,-0.1982,0.782562
reported,apac_equity,리스크온,82,0.136634,0.0911825,0.792683,-0.059,6.7846
reported,apac_equity,리스크오프,23,-0.0218087,0.17538,0.434783,-0.1738,-0.298183
reported,hfri_fof_cons,리스크온,82,0.0484239,0.0331582,0.865854,-0.0719268,6.6122
reported,hfri_fof_cons,리스크오프,23,0.000946588,0.0796498,0.652174,-0.11475,0.0284977
reported,msci_gpfi,리스크온,52,0.0547315,0.0469912,0.788462,-0.049177,4.19946
reported,msci_gpfi,리스크오프,16,-0.0230338,0.12717,0.5625,-0.154965,-0.362252
reported,re_noncore,리스크온,82,0.102151,0.0822043,0.804878,-0.1196,5.62634
reported,re_noncore,리스크오프,23,-0.0324522,0.155772,0.608696,-0.269,-0.499562
reported,gl1,리스크온,48,0.0454893,0.0306407,0.791667,-0.024797,5.14282
reported,gl1,리스크오프,6,-0.0215927,0.0696781,0.5,-0.0441,-0.37954
reported,gl2,리스크온,48,0.0837294,0.0259229,0.958333,-0.0308285,11.1888
reported,gl2,리스크오프,6,0.0736813,0.00886387,1,0.0148317,10.1807
reported,epra_nareit,리스크온,82,0.124268,0.145497,0.707317,-0.283352,3.86708
reported,epra_nareit,리스크오프,23,-0.025562,0.31003,0.478261,-0.323785,-0.197709
reported,infra_core,리스크온,62,0.0826968,0.0660925,0.741935,-0.0634,4.92609
reported,infra_core,리스크오프,16,-0.017475,0.12346,0.5,-0.1083,-0.283088
reported,ftse_fi_infra,리스크온,54,0.0442608,0.0634409,0.648148,-0.073833,2.5634
reported,ftse_fi_infra,리스크오프,10,0.0577304,0.137092,0.7,-0.0859918,0.665828
unsmoothed,buyout,리스크온,81,0.145713,0.128494,0.777778,-0.186831,5.10302
unsmoothed,buyout,리스크오프,23,0.0222026,0.207074,0.434783,-0.236206,0.257106
unsmoothed,vc,리스크온,81,0.101689,0.203909,0.666667,-0.278214,2.24415
unsmoothed,vc,리스크오프,23,-0.00668731,0.470298,0.478261,-0.523648,-0.0340967
unsmoothed,fof_secondary,리스크온,77,0.149005,0.127492,0.74026,-0.141945,5.12783
unsmoothed,fof_secondary,리스크오프,19,0.0355956,0.207572,0.473684,-0.244441,0.373745
unsmoothed,fof_primary,리스크온,81,0.089949,0.14642,0.666667,-0.17949,2.76445
unsmoothed,fof_primary,리스크오프,23,0.00959671,0.286665,0.478261,-0.252713,0.0802752
unsmoothed,senior_loan,리스크온,54,0.0774889,0.0356997,0.87037,-0.0411,7.97519
unsmoothed,senior_loan,리스크오프,10,0.0588,0.0848043,0.6,-0.0718,1.0963
unsmoothed,mezzanine,리스크온,81,0.107858,0.0940554,0.82716,-0.223929,5.16035
unsmoothed,mezzanine,리스크오프,23,0.0926584,0.264767,0.608696,-0.226271,0.839178
unsmoothed,apac_equity,리스크온,81,0.133985,0.140335,0.641975,-0.119622,4.29636
